genres,movie_id,original_title,plot,cast
"['Action', 'Adventure', 'Science Fiction']",166424,Fantastic Four,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.","['Miles Teller', 'Kate Mara', 'Michael B. Jordan']"
"['Adventure', 'Horror', 'Comedy']",257445,Goosebumps,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.","['Jack Black', 'Dylan Minnette', 'Odeya Rush']"
['Documentary'],251471,A LEGO Brickumentary,A look at the global culture and appeal of the LEGO building-block toys.,"['Jason Bateman', 'Matthias Klie']"
"['Family', 'Comedy']",357441,Karachi se Lahore,A road trip from Karachi to Lahore where 5 friends discover themselves and the country amidst getting to their destination.,"['Shehzad Sheikh', 'Ayesha Omar', 'Yasir Hussain']"
"['Thriller', 'Mystery']",328425,The Gift,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.","['Jason Bateman', 'Rebecca Hall', 'Joel Edgerton']"
"['Adventure', 'Animation', 'Fantasy']",309809,The Little Prince,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.","['Jeff Bridges', 'Rachel McAdams', 'Paul Rudd']"
['Comedy'],296099,Vacation,"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.","['Ed Helms', 'Christina Applegate', 'Skyler Gisondo']"
"['Thriller', 'Horror']",157544,The Vatican Tapes,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.","['Olivia Taylor Dudley', 'Michael Peña', 'Djimon Hounsou']"
"['Action', 'Adventure', 'Thriller']",177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.","['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg']"
['Comedy'],271718,Trainwreck,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","['Amy Schumer', 'Bill Hader', 'Brie Larson']"
"['Action', 'Comedy', 'Science Fiction']",257344,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,"['Adam Sandler', 'Michelle Monaghan', 'Peter Dinklage']"
"['Science Fiction', 'Action', 'Adventure']",102899,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly']"
"['Action', 'Adventure', 'War']",256040,Baahubali: The Beginning,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior/princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","['Prabhas', 'Rana Daggubati', 'Tamanna Bhatia']"
"['Science Fiction', 'Mystery', 'Thriller']",238615,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"['Ryan Reynolds', 'Ben Kingsley', 'Natalie Martinez']"
"['Horror', 'Thriller']",299245,The Gallows,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.","['Cassidy Gifford', 'Ryan Shoos', 'Pfeifer Brown']"
"['Thriller', 'Horror', 'Science Fiction']",347548,Containment,Neighbors in a block wake one morning to find they have been sealed inside their apartments. Can they work together to find out why? Or will they destroy each other in their fight to escape?,"['Louise Brealey', 'Lee Ross', 'Sheila Reid']"
"['Romance', 'Comedy', 'Drama']",361505,Me You and Five Bucks,"A womanizing yet lovable loser, Charlie, a waiter in his early 30's who dreams of selling his book entitled ""7 STEPS OF HEALING THE MALE BROKEN HEART"" finds himself still working in restaurants to survive in the Big Apple. Low on cash, he's left with no other choice but to look for a roommate to share his tiny studio. Surprisingly, the first person to answer the ad is his ex and only love of his life Pam, who broke his heart and disappeared without reason and the inspiration behind his book. The Pam he remembered was a youthful spirit with lots of money who is now broke and disheveled. A new story begins and it is up to Charlie to find out why she ran out on him and what's happened to her over the past three years. With a potential new love in his life, he must gather the strength to help Pam get back on her feet without rekindling old feelings.",[]
"['Comedy', 'Horror']",254472,Stung,A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,"[""Matt O'Leary"", 'Jessica Cook', 'Lance Henriksen']"
"['Thriller', 'Action', 'Crime']",356841,Checkmate,"Six people are thrown together during an elaborate bank heist where any move can alter the outcome. Is it coincidence, or are they merely pawns in a much bigger game.","['Danny Glover', 'Sean Astin', 'Vinnie Jones']"
"['Comedy', 'Drama', 'Music']",264999,Magic Mike XXL,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.","['Channing Tatum', 'Matt Bomer', 'Joe Manganiello']"
"['Drama', 'Thriller']",245846,Strangerland,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish.","['Nicole Kidman', 'Joseph Fiennes', 'Hugo Weaving']"
"['Adventure', 'Drama', 'Family']",272878,Max,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,"['Thomas Haden Church', 'Josh Wiggins', 'Lauren Graham']"
[],346081,Sardaarji,A ghost hunter uses bottles to capture troublesome spirits.,[]
"['Thriller', 'Mystery']",343409,Windsor Drive,"River Miller, a mentally unstable actor haunted by the past, moves to Hollywood to start his life over, only to find his inner demons are inescapable.","['Samaire Armstrong', 'Anna Gurji', 'Matt Cohen']"
['Comedy'],214756,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.","['Mark Wahlberg', 'Seth MacFarlane', 'Amanda Seyfried']"
"['Science Fiction', 'Action', 'Thriller']",87101,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']"
"['Crime', 'Drama', 'Comedy']",308639,Dope,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.","['Shameik Moore', 'Kiersey Clemons', 'Tony Revolori']"
"['Drama', 'Mystery', 'Romance']",286565,Paper Towns,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.","['Nat Wolff', 'Cara Delevingne', 'Justice Smith']"
"['Family', 'Animation', 'Adventure']",211672,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']"
"['Action', 'Drama']",307081,Southpaw,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.","['Jake Gyllenhaal', 'Rachel McAdams', 'Forest Whitaker']"
"['Action', 'Adventure', 'Science Fiction']",135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']"
"['Drama', 'Comedy', 'Animation']",150540,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","['Amy Poehler', 'Phyllis Smith', 'Richard Kind']"
['Drama'],299145,Dawn Patrol,"After the brutal murder of his beloved brother, a small-town surfer seeks revenge against the gang of merciless thugs he holds responsible. However, when another tragedy brings him face to face with the consequences of his actions, he must seek forgiveness from the very people he despises most.","['Scott Eastwood', 'Rita Wilson', 'Jeff Fahey']"
['Drama'],344466,Lumea e a mea,"Larisa is 16 and lives in a city by the sea. It's a small city, where gossip and news spread fast. It's a city where your image and influence, ""manelele"", money and power are all that matters. And Larisa… wants it all. And even if she doesn't have it, she fights for it. Larisa believes in herself. She knows that she deserves better. She is convinced that it's worth doing everything it takes to fulfill her dreams. And for her courage and recklessness - we love her.","['Ana Maria Guran', 'Iulia Ciochina', 'Oana Rusu']"
"['Drama', 'Horror', 'Thriller']",280092,Insidious: Chapter 3,"A twisted new tale of terror begins for a teenage girl and her family, predating the haunting of the Lambert family in the earlier movies and revealing more mysteries of the otherworldly realm The Further.","['Dermot Mulroney', 'Stefanie Scott', 'Lin Shaye']"
"['Action', 'Drama', 'Thriller']",254128,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.","['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino']"
"['Drama', 'Comedy', 'Romance']",222936,Aloha,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,"['Bradley Cooper', 'Emma Stone', 'Rachel McAdams']"
['Thriller'],334074,Survivor,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.","['Pierce Brosnan', 'Milla Jovovich', 'Dylan McDermott']"
