genres,movie_id,original_title,plot,cast
"['Comedy', 'Family', 'Drama']",426469,Growing Up Smith,"In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.","['Roni Akurati', 'Brighton Sharbino', 'Jason Lee']"
"['Drama', 'Romance']",325373,Two Lovers and a Bear,"Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace.","['Dane DeHaan', 'Tatiana Maslany', 'Gordon Pinsent']"
['Drama'],374461,Mr. Church,"A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years.","['Eddie Murphy', 'Britt Robertson', 'Natascha McElhone']"
['Adventure'],385736,Kicks,"When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers.","['Mahershala Ali', 'Kofi Siriboe', 'Christopher Meyer']"
['Drama'],339408,The Birth of a Nation,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virgina that results in a violent retaliation from whites.","['Nate Parker', 'Armie Hammer', 'Aja Naomi King']"
['Horror'],332285,Antibirth,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a crazy night of partying with symptoms of a strange illness and recurring visions. As she struggles to get a grip on reality, the stories of conspiracy spread.","['Natasha Lyonne', 'Chloë Sevigny', 'Meg Tilly']"
['Drama'],184341,Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,"['Robert De Niro', 'Edgar Ramírez', 'Jurnee Smollett']"
['Drama'],271969,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,"['Jack Huston', 'Toby Kebbell', 'Rodrigo Santoro']"
"['Adventure', 'Family', 'Fantasy']",294272,Pete's Dragon,"Pete is a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, forest ranger Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.","['Bryce Dallas Howard', 'Oakes Fegley', 'Wes Bentley']"
"['Action', 'Adventure', 'Crime']",297761,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","['Will Smith', 'Margot Robbie', 'Joel Kinnaman']"
"['Action', 'Adventure', 'Drama']",315011,シン・ゴジラ,"From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.","['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']"
['Drama'],340611,Indignation,"In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War.","['Logan Lerman', 'Sarah Gadon', 'Tracy Letts']"
['Comedy'],376659,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.","['Mila Kunis', 'Kristen Bell', 'Kathryn Hahn']"
"['Action', 'Thriller']",324668,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,"['Matt Damon', 'Alicia Vikander', 'Tommy Lee Jones']"
"['Mystery', 'Adventure', 'Crime']",328387,Nerve,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.","['Emma Roberts', 'Dave Franco', 'Emily Meade']"
"['History', 'Drama', 'War']",407887,인천상륙작전,A squad of soldiers fight in the Korean War's crucial Battle of Incheon.,"['Lee Jung-jae', 'Liam Neeson', 'Lee Beom-soo']"
"['Action', 'Drama']",385383,Fight Valley,"When Tory Coro turns up dead, the neighborhood turns up silent. Rumor has it she became yet another victim of the small town known as FIGHT VALLEY. Tory's sister Windsor moves to town to begin her own investigation on her sister's mysterious death after weeks of no leads from the police. She's quick to learn that Tory fought for money to make ends meet. If girl-next-door Windsor is going to make her way into FIGHT VALLEY to find the truth about Tory, she's going to have to fight her way in. ""Jabs"" (Miesha Tate) swore she would never throw a punch in the Valley again. Jabs now finds herself training Windsor to survive the painful, unexpected path she's about to take. Every corner. Every alley. Every doorway. She must follow the last footsteps of her sister in order to come face-to-face with Tory's killer in FIGHT VALLEY.","[""Erin O'Brien"", 'Miesha Tate', 'Holly Holm']"
"['Horror', 'Thriller']",345911,Lights Out,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged.","['Teresa Palmer', 'Maria Bello', 'Gabriel Bateman']"
"['Action', 'Fantasy', 'Comedy']",43074,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon']"
"['Action', 'Drama']",308529,Kickboxer: Vengeance,"Eric and Kurt Sloane are the descendants of a well-known Venice, California-based family of martial artists.  Kurt, the younger of the two,  has always been in his brother Eric’s shadow, and despite his talent has been told he lacks the instinct needed to become a champion.  But when Kurt witnesses the merciless murder of his brother at the hands of Muay Thai champion Tong Po, he vows revenge.  He trains with his brother’s mentor for a fight to the death with Tong Po. At first it seems impossible to turn Kurt into the living weapon he must become to beat Tong Po, but through a series of tests and dangerous encounters, Kurt proves he has a deeper strength that will carry him through to his final showdown with Tong Po.","['Alain Moussi', 'Dave Bautista', 'Sara Malakul Lane']"
"['Crime', 'Drama', 'Thriller']",325789,The Infiltrator,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.,"['Bryan Cranston', 'Diane Kruger', 'John Leguizamo']"
"['Adventure', 'Animation', 'Comedy']",223702,Sausage Party,"Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.","['Seth Rogen', 'Kristen Wiig', 'Jonah Hill']"
"['Comedy', 'Fantasy', 'Horror']",290825,Yoga Hosers,Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.,"['Lily-Rose Depp', 'Harley Quinn Smith', 'Justin Long']"
['Drama'],394047,The Dog Lover,"Sara Gold is a young girl on a quest to save man's best friend. When she goes undercover to take down a dog breeder suspected of wrongdoing, she quickly finds out she might be on the wrong side of right. Sara must make a decision: to continue and follow the orders of her organization, United Animal Protection Agency, or trust her instincts and the boy she's fallen in love with.","['Allison Paige', 'James Remar', 'Lea Thompson']"
"['Action', 'Adventure', 'Science Fiction']",188927,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","['Chris Pine', 'Zachary Quinto', 'Karl Urban']"
"['Action', 'Adventure']",258489,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']"
"['Action', 'Horror', 'Thriller']",316727,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.","['Elizabeth Mitchell', 'Frank Grillo', 'Mykelti Williamson']"
"['War', 'Action', 'Drama']",316152,Free State of Jones,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.","['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali']"
"['Horror', 'Drama', 'Thriller']",332567,The Shallows,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.","['Blake Lively', 'Óscar Jaenada', 'Angelo Josue Lozano Corzo']"
"['Action', 'Adventure', 'Science Fiction']",47933,Independence Day: Resurgence,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.","['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']"
"['Animation', 'Family']",328111,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart']"
"['Action', 'Comedy']",302699,Central Intelligence,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.","['Dwayne Johnson', 'Kevin Hart', 'Amy Ryan']"
"['Thriller', 'Horror']",301365,The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.","['Elle Fanning', 'Karl Glusman', 'Jena Malone']"
"['Action', 'Adventure', 'Comedy']",291805,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.","['Jesse Eisenberg', 'Woody Harrelson', 'Mark Ruffalo']"
"['Drama', 'Romance']",296096,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.","['Emilia Clarke', 'Sam Claflin', 'Janet McTeer']"
"['Adventure', 'Family', 'Fantasy']",267935,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!","['Ruby Barnhill', 'Mark Rylance', 'Rebecca Hall']"
"['Fantasy', 'Action', 'Adventure']",308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.","['Megan Fox', 'Stephen Amell', 'Will Arnett']"
['Fantasy'],241259,Alice Through the Looking Glass,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.","['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway']"
"['Action', 'Adventure', 'Fantasy']",68735,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.","['Paula Patton', 'Travis Fimmel', 'Ben Foster']"
"['Drama', 'Romance', 'Family']",361475,Departure,"An English mother and her teenage son spend a week preparing the sale of their remote holiday house in the South of France. Fifteen-year-old Elliot struggles with his dawning sexuality and an increasing alienation from his mother, Beatrice. She in turn is confronted by the realisation that her marriage to his father, Philip, has grown loveless and the life she knows is coming to an end. When an enigmatic local teenager, Clément, quietly enters their lives, both mother and son are compelled to confront their desires and, finally, each other.","['Juliet Stevenson', 'Alex Lawther', 'Phénix Brossard']"
['Science Fiction'],246655,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']"
['Horror'],259693,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe']"
['Thriller'],303858,Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,"['George Clooney', 'Julia Roberts', ""Jack O'Connell""]"
"['Horror', 'Mystery']",293670,곡성,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,"['Kwak Do-won', 'Hwang Jung-min', 'Chun Woo-hee']"
"['Family', 'Animation']",153518,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.","['Jason Sudeikis', 'Josh Gad', 'Danny McBride']"
"['Comedy', 'Drama']",315664,Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.","['Meryl Streep', 'Hugh Grant', 'Rebecca Ferguson']"
"['Action', 'Crime', 'Thriller']",389425,Code of Honor,"Colonel Robert Sikes is on a mission to rid his city of crime. As a stealthy, one-man assault team, he will take on street gangs, mobsters, and politicians with extreme prejudice until his mission is complete. His former protégé, William Porter, teams up with the local police department to bring his former commander to justice and prevent him from further vigilantism.","['Steven Seagal', 'Craig Sheffer', 'Louis Mandylor']"
['Thriller'],205588,Our Kind of Traitor,"A young Oxford academic and his attorney girlfriend holiday on Antigua. They bump into a Russian millionaire who owns a peninsula and a diamond watch. He wants a game of tennis. What else he wants propels the lovers on a tortuous journey to the City of London and its unholy alliance with Britain's intelligence establishment, to Paris and the Alps.","['Ewan McGregor', 'Stellan Skarsgård', 'Damian Lewis']"
['Comedy'],325133,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,"['Seth Rogen', 'Rose Byrne', 'Zac Efron']"
['Horror'],396152,Restoration,"During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems...","[""Emily Roya O'Brien"", 'Adrian Gaeta', 'Zack Ward']"
['Drama'],395766,The Secret,"The Secret is the story of a real-life double murder. James Nesbitt plays Colin Howell, a respectable dentist and pillar of the community, who became a killer in partnership with a Sunday school teacher, Hazel Buchanan, played by Genevieve O'Reilly.","['James Nesbitt', ""Genevieve O'Reilly"", 'Jason Watkins']"
"['Adventure', 'Action', 'Science Fiction']",271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']"
"['Action', 'Comedy']",342521,Keanu,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,"['Jordan Peele', 'Keegan-Michael Key', 'Tiffany Haddish']"
['Horror'],257087,The Veil,"The story springs from the real-world headlines of religious cults and mass suicides. With Veil, it begins 30 years ago, when members of a religious cult known as Heaven's Veil take their own lives. The truth behind what really happened remains buried deep in the memory of the sole survivor, a five-year-old girl, who returns to the compound with a documentary crew as an adult. They soon discover something that is far more terrifying than anything they could have imagined.","['Jessica Alba', 'Thomas Jane', 'Lily Rabe']"
"['Horror', 'Crime', 'Thriller']",313922,Green Room,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,"['Anton Yelchin', 'Imogen Poots', 'Alia Shawkat']"
['Action'],302156,Criminal,"Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.","['Kevin Costner', 'Gary Oldman', 'Tommy Lee Jones']"
"['Action', 'Crime', 'Drama']",332411,I Am Wrath,A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,"['John Travolta', 'Christopher Meloni', 'Rebecca De Mornay']"
"['Family', 'Adventure', 'Drama']",278927,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","['Neel Sethi', 'Bill Murray', 'Ben Kingsley']"
['Comedy'],323676,The Boss,"A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.","['Melissa McCarthy', 'Peter Dinklage', 'Kristen Bell']"
"['Action', 'Adventure', 'Drama']",290595,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.","['Chris Hemsworth', 'Charlize Theron', 'Emily Blunt']"
['Drama'],347126,God's Not Dead 2,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all.","['Hayley Orrantia', 'Melissa Joan Hart', 'Jesse Metcalfe']"
"['Action', 'Comedy']",317930,Compadres,"A disgruntled Mexican cop is forced to work with a teenage hacker to hunt down the criminals who killed his wife, and dismantle their operation.","['Omar Chaparro', 'Joey Morgan', 'Aislinn Derbez']"
"['Music', 'Horror']",285743,Alleluia! The Devil's Carnival,The Devil's Carnival: Alleluia! is the second episode of The Devil's Carnival. The episode will revolve around the war between Hell and Heaven.,"['Terrance Zdunich', 'Paul Sorvino', 'Marc Senter']"
"['Action', 'Adventure', 'Fantasy']",209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Ben Affleck', 'Henry Cavill', 'Gal Gadot']"
"['Romance', 'Comedy', 'Family']",302688,My Big Fat Greek Wedding 2,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding.""","['John Corbett', 'Elena Kampouris', 'Nia Vardalos']"
"['Drama', 'Comedy']",375950,Médecin de campagne,"All the people in this countryside area, can count on Jean-Pierre, the doctor who auscultates them, heals and reassures them day and night, 7 days a week. Now Jean-Pierre is sick, so he sees Natalie, a young doctor, coming from the hospital to assist him. But will she adapt to this new life and be able to replace the man that believed to be irreplaceable?","['François Cluzet', 'Marianne Denicourt', 'Isabelle Sadoyan']"
['Drama'],339984,Miracles from Heaven,A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam.,"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson']"
"['Comedy', 'Romance']",378200,The Perfect Match,"Terrence J. stars as Charlie, a playboy who's convinced that relationships are dead. His two best friends, Donald Faison and Robert C. Riley, bet him that if he sticks to one woman for one month, he's bound to get attached. Charlie denies this until he crosses paths with the beautiful and mysterious Eva, played by singer/actress Cassie. They may agree to a casual affair, but eventually Charlie is questioning whether he may actually want more.","['Terrence Jenkins', 'Paula Patton', 'Kali Hawk']"
"['Drama', 'Science Fiction']",320146,Creative Control,"Smooth advertising executive David is in a relationship with yoga teacher Juliette. Then his eye is caught by Sophie, the girlfriend of his best friend Wim, a fashion photographer. Things get completely out of hand during a campaign for augmented reality-glasses, for which David designs an avatar of the coveted Sophie.","['Benjamin Dickinson', 'Nora Zehetner', 'Dan Gill']"
['Drama'],318850,The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.","['Adam Greaves-Neal', 'Sara Lazzaro', 'Vincent Walsh']"
"['Thriller', 'Science Fiction', 'Drama']",333371,10 Cloverfield Lane,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?","['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.']"
"['Adventure', 'Science Fiction']",262504,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,"['Shailene Woodley', 'Theo James', 'Zoë Kravitz']"
"['Thriller', 'Comedy', 'Horror']",386826,A Beginner's Guide to Snuff,"Two brothers, desperate to break into the world of television and film, decide to enter a horror movie contest. And what could be more horrifying than the elusive snuff film?","['Joey Kern', 'Luke Edwards', 'Bree Williamson']"
"['Action', 'Crime', 'Thriller']",267860,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman']"
"['Comedy', 'Drama', 'History']",319888,Eddie the Eagle,"Inspired by true events, Eddie the Eagle is a feel-good story about Michael ""Eddie"" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.","['Taron Egerton', 'Hugh Jackman', 'Christopher Walken']"
['Fantasy'],205584,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler']"
['Action'],335778,Risen,"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.","['Tom Felton', 'Cliff Curtis', 'Joseph Fiennes']"
"['Action', 'Thriller']",146198,Triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"['Casey Affleck', 'Chiwetel Ejiofor', 'Woody Harrelson']"
"['Action', 'Drama']",323677,Race,"Based on the incredible true story of Jesse Owens, the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy. Starring Stephan James, Jason Sudeikis, Jeremy Irons, Carice Van Houten and William Hurt - Race is an enthralling film about courage, determination, tolerance, and friendship, and an inspiring drama about one man's fight to become an Olympic legend.","['Stephan James', 'Jason Sudeikis', 'Carice van Houten']"
"['Mystery', 'Horror']",310131,The Witch,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.","['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie']"
"['Adventure', 'Drama', 'Science Fiction']",245703,Midnight Special,A father and son go on the run after the dad learns his child possesses special powers.,"['Michael Shannon', 'Jaeden Lieberher', 'Joel Edgerton']"
['Horror'],298584,Cabin Fever,"In this grisly remake of the 2002 horror hit, five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.","['Matthew Daddario', 'Samuel Davis', 'Dustin Ingram']"
"['Action', 'Adventure', 'Comedy']",293660,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']"
['Comedy'],329833,Zoolander 2,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,"['Ben Stiller', 'Owen Wilson', 'Will Ferrell']"
"['Comedy', 'Drama', 'Mystery']",270487,"Hail, Caesar!","Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.","['Josh Brolin', 'George Clooney', 'Alden Ehrenreich']"
"['Drama', 'Thriller']",373314,Misconduct,"An ambitious lawyer finds himself caught in a power struggle between a corrupt pharmaceutical executive and his firm’s senior partner. When the case takes a deadly turn, he must race to uncover the truth before he loses everything.","['Josh Duhamel', 'Alice Eve', 'Malin Åkerman']"
"['Romance', 'Horror', 'Comedy']",58431,Pride and Prejudice and Zombies,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.","['Lily James', 'Sam Riley', 'Jack Huston']"
"['Romance', 'Action']",380733,Fight to the Finish,"A young amateur fighter makes an enemy with a hardened thug when he gets in-between his next-door neighbor and her abusive ex- boyfriend. As his personal life becomes threatened, he realizes he must finish the fight that he started, but this time they'll settle it in the ring for the championship.","['Jennifer Hale', 'Evan Hannemann', 'Tonya Kay']"
"['Romance', 'Comedy']",351819,Fifty Shades of Black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,"['Marlon Wayans', 'Kali Hawk', 'Fred Willard']"
"['Action', 'Horror', 'Thriller']",347755,Wind Walkers,"A group of friends and family descend into the Everglades swamplands for their annual hunting trip only to discover that they are the ones being hunted. A malevolent entity is tracking them and they begin to realise one of their party may be possessed by something brought home from a tour of duty in the Middle East – a demon of war so horrible and deadly they are unaware of its devilish presence. Or are they facing something even more unspeakable, a legendary Native American curse about to unleash its dreadful legacy of thirsting for colonial revenge by claiming more souls?","['Zane Holtz', 'Glen Powell', 'Kiowa Gordon']"
"['Action', 'Drama', 'History']",300673,The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"['Chris Pine', 'Casey Affleck', 'Ben Foster']"
"['Action', 'Adventure', 'Animation']",140300,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","['Jack Black', 'Bryan Cranston', 'Dustin Hoffman']"
"['Action', 'Adventure', 'Fantasy']",381902,西游记之孙悟空三打白骨精,"Taking place 500 years after the Havoc in Heaven, the Tang Priest is appointed by Buddha to go to the West to fetch the sacred scriptures, only to accidentally free the Monkey King. With Lady White (Gong Li) aiming to break up the team assembled to defeat her, the Monkey King must fight in order to save his world!","['Aaron Kwok', 'Gong Li', 'William Feng']"
